Details for patient C0747d, combinations ordered by fitness (best to worst):

1. Fitness: 0.920824, Average: 0.705517, Chromosome: [0, 1, 1, 1, 0, 1, 1]
2. Fitness: 0.918558, Average: 0.707883, Chromosome: [0, 1, 1, 1, 1, 1, 1]
3. Fitness: 0.916951, Average: 0.701468, Chromosome: [0, 1, 0, 1, 0, 1, 1]
4. Fitness: 0.916639, Average: 0.725196, Chromosome: [1, 1, 1, 1, 0, 1, 1]
5. Fitness: 0.916275, Average: 0.726615, Chromosome: [1, 1, 1, 1, 1, 1, 1]
6. Fitness: 0.916228, Average: 0.723885, Chromosome: [1, 0, 1, 1, 0, 1, 1]
7. Fitness: 0.915865, Average: 0.725325, Chromosome: [1, 0, 1, 1, 1, 1, 1]
8. Fitness: 0.914905, Average: 0.705069, Chromosome: [0, 1, 1, 0, 1, 1, 1]
9. Fitness: 0.914516, Average: 0.704075, Chromosome: [0, 1, 0, 1, 1, 1, 1]
10. Fitness: 0.913953, Average: 0.725479, Chromosome: [1, 1, 1, 0, 1, 1, 1]
11. Fitness: 0.913544, Average: 0.724823, Chromosome: [1, 0, 1, 0, 1, 1, 1]
12. Fitness: 0.913128, Average: 0.722452, Chromosome: [1, 1, 0, 1, 0, 1, 1]
13. Fitness: 0.913004, Average: 0.703615, Chromosome: [0, 1, 1, 0, 0, 1, 1]
14. Fitness: 0.912771, Average: 0.723997, Chromosome: [1, 1, 0, 1, 1, 1, 1]
15. Fitness: 0.912332, Average: 0.711378, Chromosome: [0, 1, 1, 1, 0, 0, 1]
16. Fitness: 0.912129, Average: 0.729871, Chromosome: [1, 1, 1, 1, 1, 0, 1]
17. Fitness: 0.911813, Average: 0.678761, Chromosome: [0, 0, 1, 1, 0, 1, 1]
18. Fitness: 0.911720, Average: 0.728504, Chromosome: [1, 0, 1, 1, 1, 0, 1]
19. Fitness: 0.911110, Average: 0.711132, Chromosome: [0, 1, 1, 1, 1, 0, 1]
20. Fitness: 0.910660, Average: 0.724998, Chromosome: [1, 1, 1, 0, 0, 1, 1]
21. Fitness: 0.910249, Average: 0.724315, Chromosome: [1, 0, 1, 0, 0, 1, 1]
22. Fitness: 0.910128, Average: 0.719687, Chromosome: [1, 0, 0, 1, 0, 1, 1]
23. Fitness: 0.909775, Average: 0.721290, Chromosome: [1, 0, 0, 1, 1, 1, 1]
24. Fitness: 0.909756, Average: 0.729124, Chromosome: [1, 1, 1, 0, 1, 0, 1]
25. Fitness: 0.909346, Average: 0.728461, Chromosome: [1, 0, 1, 0, 1, 0, 1]
26. Fitness: 0.908742, Average: 0.682130, Chromosome: [0, 0, 1, 1, 1, 1, 1]
27. Fitness: 0.908598, Average: 0.727229, Chromosome: [1, 1, 0, 1, 1, 0, 1]
28. Fitness: 0.908334, Average: 0.707047, Chromosome: [0, 1, 0, 1, 0, 0, 1]
29. Fitness: 0.907396, Average: 0.709044, Chromosome: [0, 1, 1, 0, 1, 0, 1]
30. Fitness: 0.907007, Average: 0.707238, Chromosome: [0, 1, 0, 1, 1, 0, 1]
31. Fitness: 0.906678, Average: 0.729732, Chromosome: [1, 1, 1, 1, 0, 0, 1]
32. Fitness: 0.906267, Average: 0.728293, Chromosome: [1, 0, 1, 1, 0, 0, 1]
33. Fitness: 0.906176, Average: 0.721646, Chromosome: [1, 1, 0, 0, 1, 1, 1]
34. Fitness: 0.906131, Average: 0.698682, Chromosome: [0, 1, 0, 0, 1, 1, 1]
35. Fitness: 0.905578, Average: 0.724414, Chromosome: [1, 0, 0, 1, 1, 0, 1]
36. Fitness: 0.905423, Average: 0.703065, Chromosome: [0, 1, 1, 1, 0, 1, 0]
37. Fitness: 0.905416, Average: 0.674645, Chromosome: [0, 0, 1, 0, 1, 1, 1]
38. Fitness: 0.904076, Average: 0.670794, Chromosome: [0, 0, 1, 0, 0, 1, 1]
39. Fitness: 0.903604, Average: 0.724275, Chromosome: [1, 1, 1, 1, 0, 1, 0]
40. Fitness: 0.903416, Average: 0.725614, Chromosome: [1, 1, 1, 1, 1, 1, 0]
41. Fitness: 0.903352, Average: 0.705307, Chromosome: [0, 1, 1, 1, 1, 1, 0]
42. Fitness: 0.903174, Average: 0.722802, Chromosome: [1, 0, 1, 1, 0, 1, 0]
43. Fitness: 0.903095, Average: 0.726908, Chromosome: [1, 1, 0, 1, 0, 0, 1]
44. Fitness: 0.902987, Average: 0.724168, Chromosome: [1, 0, 1, 1, 1, 1, 0]
45. Fitness: 0.902187, Average: 0.719011, Chromosome: [1, 0, 0, 0, 1, 1, 1]
46. Fitness: 0.901893, Average: 0.725311, Chromosome: [1, 1, 0, 0, 1, 0, 1]
47. Fitness: 0.901768, Average: 0.681801, Chromosome: [0, 0, 1, 1, 0, 0, 1]
48. Fitness: 0.901144, Average: 0.698727, Chromosome: [0, 1, 0, 1, 0, 1, 0]
49. Fitness: 0.901124, Average: 0.727846, Chromosome: [1, 1, 1, 1, 1, 0, 0]
50. Fitness: 0.900985, Average: 0.724877, Chromosome: [1, 1, 1, 0, 1, 1, 0]
51. Fitness: 0.900675, Average: 0.726265, Chromosome: [1, 0, 1, 1, 1, 0, 0]
52. Fitness: 0.900556, Average: 0.724142, Chromosome: [1, 0, 1, 0, 1, 1, 0]
53. Fitness: 0.900394, Average: 0.720134, Chromosome: [1, 1, 0, 0, 0, 1, 1]
54. Fitness: 0.900205, Average: 0.695781, Chromosome: [0, 1, 0, 0, 0, 1, 1]
55. Fitness: 0.900030, Average: 0.723941, Chromosome: [1, 0, 0, 1, 0, 0, 1]
56. Fitness: 0.899842, Average: 0.721471, Chromosome: [1, 1, 0, 1, 0, 1, 0]
57. Fitness: 0.899662, Average: 0.722944, Chromosome: [1, 1, 0, 1, 1, 1, 0]
58. Fitness: 0.899480, Average: 0.703427, Chromosome: [0, 1, 1, 0, 1, 1, 0]
59. Fitness: 0.899072, Average: 0.683189, Chromosome: [0, 0, 1, 1, 1, 0, 1]
60. Fitness: 0.898901, Average: 0.701246, Chromosome: [0, 1, 0, 1, 1, 1, 0]
61. Fitness: 0.898569, Average: 0.708115, Chromosome: [0, 1, 1, 1, 1, 0, 0]
62. Fitness: 0.898525, Average: 0.727435, Chromosome: [1, 1, 1, 0, 1, 0, 0]
63. Fitness: 0.898432, Average: 0.702577, Chromosome: [0, 1, 0, 0, 1, 0, 1]
64. Fitness: 0.898076, Average: 0.726672, Chromosome: [1, 0, 1, 0, 1, 0, 0]
65. Fitness: 0.897856, Average: 0.722614, Chromosome: [1, 0, 0, 0, 1, 0, 1]
66. Fitness: 0.897338, Average: 0.724639, Chromosome: [1, 1, 1, 0, 0, 1, 0]
67. Fitness: 0.897181, Average: 0.725042, Chromosome: [1, 1, 0, 1, 1, 0, 0]
68. Fitness: 0.897136, Average: 0.709755, Chromosome: [0, 1, 1, 0, 0, 0, 1]
69. Fitness: 0.897123, Average: 0.702629, Chromosome: [0, 1, 1, 0, 0, 1, 0]
70. Fitness: 0.896908, Average: 0.723871, Chromosome: [1, 0, 1, 0, 0, 1, 0]
71. Fitness: 0.896621, Average: 0.718433, Chromosome: [1, 0, 0, 1, 0, 1, 0]
72. Fitness: 0.896449, Average: 0.719970, Chromosome: [1, 0, 0, 1, 1, 1, 0]
73. Fitness: 0.896364, Average: 0.717289, Chromosome: [1, 0, 0, 0, 0, 1, 1]
74. Fitness: 0.895706, Average: 0.675751, Chromosome: [0, 0, 1, 0, 1, 0, 1]
75. Fitness: 0.895516, Average: 0.673061, Chromosome: [0, 0, 1, 1, 0, 1, 0]
76. Fitness: 0.894523, Average: 0.707617, Chromosome: [0, 1, 1, 0, 1, 0, 0]
77. Fitness: 0.894001, Average: 0.728850, Chromosome: [1, 1, 1, 0, 0, 0, 1]
78. Fitness: 0.893803, Average: 0.721836, Chromosome: [1, 0, 0, 1, 1, 0, 0]
79. Fitness: 0.893646, Average: 0.703811, Chromosome: [0, 1, 0, 1, 1, 0, 0]
80. Fitness: 0.893588, Average: 0.728142, Chromosome: [1, 0, 1, 0, 0, 0, 1]
81. Fitness: 0.892632, Average: 0.676382, Chromosome: [0, 0, 1, 1, 1, 1, 0]
82. Fitness: 0.892571, Average: 0.721117, Chromosome: [1, 1, 0, 0, 1, 1, 0]
83. Fitness: 0.889730, Average: 0.697250, Chromosome: [0, 1, 0, 0, 1, 1, 0]
84. Fitness: 0.889664, Average: 0.723442, Chromosome: [1, 1, 0, 0, 1, 0, 0]
85. Fitness: 0.889052, Average: 0.669168, Chromosome: [0, 0, 1, 0, 1, 1, 0]
86. Fitness: 0.888235, Average: 0.718243, Chromosome: [1, 0, 0, 0, 1, 1, 0]
87. Fitness: 0.887199, Average: 0.665640, Chromosome: [0, 0, 1, 0, 0, 1, 0]
88. Fitness: 0.886245, Average: 0.719766, Chromosome: [1, 1, 0, 0, 0, 1, 0]
89. Fitness: 0.885095, Average: 0.672457, Chromosome: [0, 0, 1, 0, 0, 0, 1]
90. Fitness: 0.885088, Average: 0.720266, Chromosome: [1, 0, 0, 0, 1, 0, 0]
