Details for patient C0011d, combinations ordered by fitness (best to worst):

1. Fitness: 0.786541, Average: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
2. Fitness: 0.786521, Average: 0.779143, Chromosome: [1, 1, 1, 0, 0, 0, 0]
3. Fitness: 0.785274, Average: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
4. Fitness: 0.785081, Average: 0.777331, Chromosome: [1, 0, 1, 0, 0, 0, 0]
5. Fitness: 0.776531, Average: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
6. Fitness: 0.773423, Average: 0.770443, Chromosome: [1, 0, 0, 1, 0, 0, 0]
7. Fitness: 0.773121, Average: 0.774044, Chromosome: [1, 1, 0, 0, 0, 0, 0]
8. Fitness: 0.769330, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
9. Fitness: 0.768303, Average: 0.769838, Chromosome: [1, 0, 0, 0, 0, 0, 0]
10. Fitness: 0.768245, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
11. Fitness: 0.760711, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
12. Fitness: 0.757961, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
13. Fitness: 0.757883, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
14. Fitness: 0.757140, Average: 0.752936, Chromosome: [0, 1, 1, 1, 0, 0, 0]
15. Fitness: 0.756682, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
16. Fitness: 0.755599, Average: 0.759290, Chromosome: [0, 1, 1, 0, 0, 0, 0]
17. Fitness: 0.754896, Average: 0.699749, Chromosome: [0, 0, 1, 1, 0, 0, 0]
18. Fitness: 0.752243, Average: 0.709798, Chromosome: [0, 0, 1, 0, 0, 0, 0]
19. Fitness: 0.745606, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
20. Fitness: 0.743647, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
21. Fitness: 0.743086, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
22. Fitness: 0.742612, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
23. Fitness: 0.741853, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
24. Fitness: 0.741402, Average: 0.746535, Chromosome: [0, 1, 0, 1, 0, 0, 0]
25. Fitness: 0.741307, Average: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
