Details for patient C0030d, combinations ordered by fitness (best to worst):

1. Fitness: 0.838907, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
2. Fitness: 0.838219, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
3. Fitness: 0.835811, Average: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
4. Fitness: 0.835564, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
5. Fitness: 0.828869, Average: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
6. Fitness: 0.828681, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
7. Fitness: 0.826482, Average: 0.754336, Chromosome: [1, 0, 0, 0, 0, 1, 1]
8. Fitness: 0.826086, Average: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
9. Fitness: 0.821368, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
10. Fitness: 0.820855, Average: 0.774044, Chromosome: [1, 1, 0, 0, 0, 0, 0]
11. Fitness: 0.820160, Average: 0.779143, Chromosome: [1, 1, 1, 0, 0, 0, 0]
12. Fitness: 0.819414, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
13. Fitness: 0.818707, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
14. Fitness: 0.817646, Average: 0.769838, Chromosome: [1, 0, 0, 0, 0, 0, 0]
15. Fitness: 0.817630, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
16. Fitness: 0.817205, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
17. Fitness: 0.817127, Average: 0.777331, Chromosome: [1, 0, 1, 0, 0, 0, 0]
18. Fitness: 0.816590, Average: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
19. Fitness: 0.816310, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
20. Fitness: 0.815872, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
21. Fitness: 0.815326, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
22. Fitness: 0.815031, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
23. Fitness: 0.814811, Average: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
24. Fitness: 0.813827, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
25. Fitness: 0.813716, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
26. Fitness: 0.813511, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
27. Fitness: 0.813329, Average: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
28. Fitness: 0.812721, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
29. Fitness: 0.812157, Average: 0.752535, Chromosome: [1, 0, 0, 0, 1, 0, 1]
30. Fitness: 0.811580, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
31. Fitness: 0.810594, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
32. Fitness: 0.810471, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
33. Fitness: 0.808986, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
34. Fitness: 0.807988, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
35. Fitness: 0.807349, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
36. Fitness: 0.806283, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
37. Fitness: 0.804253, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
38. Fitness: 0.803076, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
39. Fitness: 0.801633, Average: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
40. Fitness: 0.798597, Average: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
41. Fitness: 0.797822, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
42. Fitness: 0.797659, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
43. Fitness: 0.797266, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
44. Fitness: 0.796159, Average: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
45. Fitness: 0.795568, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
46. Fitness: 0.794967, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
47. Fitness: 0.794492, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
48. Fitness: 0.794251, Average: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
49. Fitness: 0.793592, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
50. Fitness: 0.792733, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
51. Fitness: 0.792399, Average: 0.770443, Chromosome: [1, 0, 0, 1, 0, 0, 0]
52. Fitness: 0.792135, Average: 0.679475, Chromosome: [0, 0, 1, 0, 0, 0, 1]
53. Fitness: 0.790635, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
54. Fitness: 0.789767, Average: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
55. Fitness: 0.788583, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
56. Fitness: 0.786862, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
57. Fitness: 0.786818, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
58. Fitness: 0.785627, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
59. Fitness: 0.785610, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
60. Fitness: 0.785427, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
61. Fitness: 0.784409, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
62. Fitness: 0.784010, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
63. Fitness: 0.783637, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
64. Fitness: 0.783077, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
65. Fitness: 0.782944, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
66. Fitness: 0.782763, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
67. Fitness: 0.781477, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
68. Fitness: 0.781305, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
69. Fitness: 0.780925, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
70. Fitness: 0.780167, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
71. Fitness: 0.779366, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
72. Fitness: 0.779172, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
73. Fitness: 0.778080, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
74. Fitness: 0.778077, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
75. Fitness: 0.777867, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
76. Fitness: 0.777671, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
77. Fitness: 0.777468, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
