Details for patient C0705d, combinations ordered by fitness (best to worst):

1. Fitness: 0.799261, Average: 0.699749, Chromosome: [0, 0, 1, 1, 0, 0, 0]
2. Fitness: 0.794270, Average: 0.752936, Chromosome: [0, 1, 1, 1, 0, 0, 0]
3. Fitness: 0.793116, Average: 0.746535, Chromosome: [0, 1, 0, 1, 0, 0, 0]
4. Fitness: 0.787140, Average: 0.751920, Chromosome: [0, 1, 0, 0, 0, 0, 0]
5. Fitness: 0.785774, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
6. Fitness: 0.784948, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
7. Fitness: 0.784193, Average: 0.679747, Chromosome: [0, 0, 1, 1, 1, 0, 0]
8. Fitness: 0.784177, Average: 0.687859, Chromosome: [0, 0, 1, 1, 0, 1, 0]
9. Fitness: 0.783276, Average: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
10. Fitness: 0.783191, Average: 0.709798, Chromosome: [0, 0, 1, 0, 0, 0, 0]
11. Fitness: 0.782592, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
12. Fitness: 0.782032, Average: 0.738699, Chromosome: [0, 1, 1, 1, 1, 0, 0]
13. Fitness: 0.782015, Average: 0.759290, Chromosome: [0, 1, 1, 0, 0, 0, 0]
14. Fitness: 0.782008, Average: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
15. Fitness: 0.781880, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
16. Fitness: 0.781864, Average: 0.678682, Chromosome: [0, 0, 1, 1, 1, 1, 0]
17. Fitness: 0.781672, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
18. Fitness: 0.781309, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
19. Fitness: 0.780943, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
20. Fitness: 0.780836, Average: 0.678059, Chromosome: [0, 0, 1, 1, 0, 0, 1]
21. Fitness: 0.780557, Average: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
22. Fitness: 0.780354, Average: 0.732213, Chromosome: [0, 1, 0, 1, 1, 0, 0]
23. Fitness: 0.780089, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
24. Fitness: 0.779980, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
25. Fitness: 0.779784, Average: 0.729928, Chromosome: [0, 1, 0, 0, 0, 1, 0]
26. Fitness: 0.779100, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
27. Fitness: 0.778735, Average: 0.679733, Chromosome: [0, 0, 1, 0, 1, 0, 0]
28. Fitness: 0.778440, Average: 0.677043, Chromosome: [0, 0, 1, 1, 0, 1, 1]
29. Fitness: 0.778248, Average: 0.737381, Chromosome: [0, 1, 1, 0, 1, 0, 0]
30. Fitness: 0.778181, Average: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
31. Fitness: 0.777727, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
32. Fitness: 0.777495, Average: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
33. Fitness: 0.776405, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
34. Fitness: 0.776279, Average: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
35. Fitness: 0.775670, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
36. Fitness: 0.775201, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
37. Fitness: 0.775157, Average: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
38. Fitness: 0.772831, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
39. Fitness: 0.772491, Average: 0.738108, Chromosome: [0, 1, 1, 0, 0, 1, 0]
40. Fitness: 0.772316, Average: 0.728859, Chromosome: [0, 1, 0, 0, 1, 0, 0]
41. Fitness: 0.771738, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
42. Fitness: 0.771093, Average: 0.667249, Chromosome: [0, 0, 1, 0, 1, 0, 1]
43. Fitness: 0.770854, Average: 0.593810, Chromosome: [0, 0, 0, 1, 0, 0, 0]
44. Fitness: 0.770853, Average: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
45. Fitness: 0.770522, Average: 0.688502, Chromosome: [0, 0, 1, 0, 0, 1, 0]
46. Fitness: 0.770231, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
47. Fitness: 0.770021, Average: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
48. Fitness: 0.768251, Average: 0.679475, Chromosome: [0, 0, 1, 0, 0, 0, 1]
49. Fitness: 0.765839, Average: 0.675861, Chromosome: [0, 0, 1, 0, 0, 1, 1]
50. Fitness: 0.763225, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
51. Fitness: 0.763023, Average: 0.605679, Chromosome: [0, 0, 0, 1, 0, 1, 0]
52. Fitness: 0.762341, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
53. Fitness: 0.761448, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
54. Fitness: 0.761339, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
55. Fitness: 0.761276, Average: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
56. Fitness: 0.760552, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
57. Fitness: 0.760483, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
58. Fitness: 0.760286, Average: 0.603960, Chromosome: [0, 0, 0, 1, 1, 1, 0]
59. Fitness: 0.759613, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
60. Fitness: 0.759534, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
61. Fitness: 0.759496, Average: 0.588112, Chromosome: [0, 0, 0, 1, 1, 0, 0]
62. Fitness: 0.759344, Average: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
63. Fitness: 0.758871, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
64. Fitness: 0.758730, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
65. Fitness: 0.758666, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
66. Fitness: 0.757975, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
67. Fitness: 0.757724, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
68. Fitness: 0.757217, Average: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
69. Fitness: 0.757076, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
70. Fitness: 0.756987, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
71. Fitness: 0.756868, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
72. Fitness: 0.756814, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
73. Fitness: 0.756050, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
