Summary of all 127 combinations ordered by average fitness (best to worst) over 35 patients:

Training Patients: ['C0692d', 'C0685i', 'C0676i', 'C0024i', 'C0013d', 'C0808i', 'C0692i', 'C0015i', 'C0703d', 'C0674d', 'C0705d', 'C0683i', 'C0030d', 'C0012i', 'C0804i', 'C0804d', 'C0024d', 'C0687d', 'C0753i', 'C0011d', 'C0807i', 'C0676d', 'C0747i', 'C0845d', 'C0806i', 'C0703i', 'C0699i', 'C0683d', 'C0685d', 'C0807d', 'C0844d', 'C0793d', 'C0747d', 'C0808d', 'C0030i']
Validation Patients: ['C0845i', 'C0844i', 'C0012d', 'C0699d', 'C0793i', 'C0013i', 'C0753d', 'C0014d', 'C0015d', 'C0623d', 'C0623i', 'C0674i', 'C0011i', 'C0014i', 'C0806d']

66. Average Fitness: 0.751920, Chromosome: [0, 1, 0, 0, 0, 0, 0]
67. Average Fitness: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
68. Average Fitness: 0.746535, Chromosome: [0, 1, 0, 1, 0, 0, 0]
69. Average Fitness: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
70. Average Fitness: 0.738699, Chromosome: [0, 1, 1, 1, 1, 0, 0]
71. Average Fitness: 0.738108, Chromosome: [0, 1, 1, 0, 0, 1, 0]
72. Average Fitness: 0.737381, Chromosome: [0, 1, 1, 0, 1, 0, 0]
73. Average Fitness: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
74. Average Fitness: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
75. Average Fitness: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
76. Average Fitness: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
77. Average Fitness: 0.732213, Chromosome: [0, 1, 0, 1, 1, 0, 0]
78. Average Fitness: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
79. Average Fitness: 0.729928, Chromosome: [0, 1, 0, 0, 0, 1, 0]
80. Average Fitness: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
81. Average Fitness: 0.728859, Chromosome: [0, 1, 0, 0, 1, 0, 0]
82. Average Fitness: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
83. Average Fitness: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
84. Average Fitness: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
85. Average Fitness: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
86. Average Fitness: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
87. Average Fitness: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
88. Average Fitness: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
89. Average Fitness: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
90. Average Fitness: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
91. Average Fitness: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
92. Average Fitness: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
93. Average Fitness: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
94. Average Fitness: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
95. Average Fitness: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
96. Average Fitness: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
97. Average Fitness: 0.709798, Chromosome: [0, 0, 1, 0, 0, 0, 0]
98. Average Fitness: 0.699749, Chromosome: [0, 0, 1, 1, 0, 0, 0]
99. Average Fitness: 0.688502, Chromosome: [0, 0, 1, 0, 0, 1, 0]
100. Average Fitness: 0.687859, Chromosome: [0, 0, 1, 1, 0, 1, 0]
101. Average Fitness: 0.679747, Chromosome: [0, 0, 1, 1, 1, 0, 0]
102. Average Fitness: 0.679733, Chromosome: [0, 0, 1, 0, 1, 0, 0]
103. Average Fitness: 0.679475, Chromosome: [0, 0, 1, 0, 0, 0, 1]
104. Average Fitness: 0.678682, Chromosome: [0, 0, 1, 1, 1, 1, 0]
105. Average Fitness: 0.678059, Chromosome: [0, 0, 1, 1, 0, 0, 1]
106. Average Fitness: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
107. Average Fitness: 0.677043, Chromosome: [0, 0, 1, 1, 0, 1, 1]
108. Average Fitness: 0.675861, Chromosome: [0, 0, 1, 0, 0, 1, 1]
109. Average Fitness: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
110. Average Fitness: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
111. Average Fitness: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
112. Average Fitness: 0.667249, Chromosome: [0, 0, 1, 0, 1, 0, 1]
113. Average Fitness: 0.605679, Chromosome: [0, 0, 0, 1, 0, 1, 0]
114. Average Fitness: 0.603960, Chromosome: [0, 0, 0, 1, 1, 1, 0]
115. Average Fitness: 0.598375, Chromosome: [0, 0, 0, 1, 0, 1, 1]
116. Average Fitness: 0.598188, Chromosome: [0, 0, 0, 1, 1, 1, 1]
117. Average Fitness: 0.593810, Chromosome: [0, 0, 0, 1, 0, 0, 0]
118. Average Fitness: 0.588112, Chromosome: [0, 0, 0, 1, 1, 0, 0]
119. Average Fitness: 0.587667, Chromosome: [0, 0, 0, 1, 1, 0, 1]
120. Average Fitness: 0.586434, Chromosome: [0, 0, 0, 1, 0, 0, 1]
121. Average Fitness: 0.555638, Chromosome: [0, 0, 0, 0, 1, 1, 0]
122. Average Fitness: 0.552607, Chromosome: [0, 0, 0, 0, 1, 1, 1]
123. Average Fitness: 0.536070, Chromosome: [0, 0, 0, 0, 0, 1, 0]
124. Average Fitness: 0.533622, Chromosome: [0, 0, 0, 0, 1, 0, 1]
125. Average Fitness: 0.530906, Chromosome: [0, 0, 0, 0, 0, 1, 1]
126. Average Fitness: 0.516132, Chromosome: [0, 0, 0, 0, 1, 0, 0]
127. Average Fitness: 0.465650, Chromosome: [0, 0, 0, 0, 0, 0, 1]
