Details for patient C0747d, combinations ordered by fitness (best to worst):

1. Fitness: 0.920824, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
2. Fitness: 0.918558, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
3. Fitness: 0.916951, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
4. Fitness: 0.916639, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
5. Fitness: 0.916275, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
6. Fitness: 0.916228, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
7. Fitness: 0.915865, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
8. Fitness: 0.914905, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
9. Fitness: 0.914516, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
10. Fitness: 0.913953, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
11. Fitness: 0.913544, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
12. Fitness: 0.913128, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
13. Fitness: 0.913004, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
14. Fitness: 0.912771, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
15. Fitness: 0.912332, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
16. Fitness: 0.912129, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
17. Fitness: 0.911813, Average: 0.677043, Chromosome: [0, 0, 1, 1, 0, 1, 1]
18. Fitness: 0.911720, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
19. Fitness: 0.911110, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
20. Fitness: 0.910660, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
21. Fitness: 0.910249, Average: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
22. Fitness: 0.910128, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
23. Fitness: 0.909775, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
24. Fitness: 0.909756, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
25. Fitness: 0.909346, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
26. Fitness: 0.908742, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
27. Fitness: 0.908598, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
28. Fitness: 0.908334, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
29. Fitness: 0.907396, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
30. Fitness: 0.907007, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
31. Fitness: 0.906678, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
32. Fitness: 0.906267, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
33. Fitness: 0.906176, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
34. Fitness: 0.906131, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
35. Fitness: 0.905578, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
36. Fitness: 0.905423, Average: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
37. Fitness: 0.905416, Average: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
38. Fitness: 0.904076, Average: 0.675861, Chromosome: [0, 0, 1, 0, 0, 1, 1]
39. Fitness: 0.903604, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
40. Fitness: 0.903416, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
41. Fitness: 0.903352, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
42. Fitness: 0.903174, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
43. Fitness: 0.903095, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
44. Fitness: 0.902987, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
45. Fitness: 0.902187, Average: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
46. Fitness: 0.901893, Average: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
47. Fitness: 0.901768, Average: 0.678059, Chromosome: [0, 0, 1, 1, 0, 0, 1]
48. Fitness: 0.901144, Average: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
49. Fitness: 0.901124, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
50. Fitness: 0.900985, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
51. Fitness: 0.900675, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
52. Fitness: 0.900556, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
53. Fitness: 0.900394, Average: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
54. Fitness: 0.900205, Average: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
55. Fitness: 0.900030, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
56. Fitness: 0.899842, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
57. Fitness: 0.899662, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
58. Fitness: 0.899480, Average: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
59. Fitness: 0.899072, Average: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
60. Fitness: 0.898901, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
61. Fitness: 0.898569, Average: 0.738699, Chromosome: [0, 1, 1, 1, 1, 0, 0]
62. Fitness: 0.898525, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
63. Fitness: 0.898432, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
64. Fitness: 0.898076, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
65. Fitness: 0.897856, Average: 0.752535, Chromosome: [1, 0, 0, 0, 1, 0, 1]
66. Fitness: 0.897338, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
67. Fitness: 0.897181, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
68. Fitness: 0.897136, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
69. Fitness: 0.897123, Average: 0.738108, Chromosome: [0, 1, 1, 0, 0, 1, 0]
70. Fitness: 0.896908, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
71. Fitness: 0.896621, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
72. Fitness: 0.896449, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
73. Fitness: 0.896364, Average: 0.754336, Chromosome: [1, 0, 0, 0, 0, 1, 1]
74. Fitness: 0.895706, Average: 0.667249, Chromosome: [0, 0, 1, 0, 1, 0, 1]
75. Fitness: 0.895516, Average: 0.687859, Chromosome: [0, 0, 1, 1, 0, 1, 0]
76. Fitness: 0.894523, Average: 0.737381, Chromosome: [0, 1, 1, 0, 1, 0, 0]
77. Fitness: 0.894001, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
78. Fitness: 0.893803, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
79. Fitness: 0.893646, Average: 0.732213, Chromosome: [0, 1, 0, 1, 1, 0, 0]
80. Fitness: 0.893588, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
81. Fitness: 0.892632, Average: 0.678682, Chromosome: [0, 0, 1, 1, 1, 1, 0]
82. Fitness: 0.892571, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
83. Fitness: 0.889730, Average: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
84. Fitness: 0.889664, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
85. Fitness: 0.889052, Average: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
86. Fitness: 0.888235, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
87. Fitness: 0.887199, Average: 0.688502, Chromosome: [0, 0, 1, 0, 0, 1, 0]
88. Fitness: 0.886245, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
89. Fitness: 0.885095, Average: 0.679475, Chromosome: [0, 0, 1, 0, 0, 0, 1]
90. Fitness: 0.885088, Average: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
91. Fitness: 0.884046, Average: 0.728859, Chromosome: [0, 1, 0, 0, 1, 0, 0]
92. Fitness: 0.883738, Average: 0.679747, Chromosome: [0, 0, 1, 1, 1, 0, 0]
93. Fitness: 0.882954, Average: 0.729928, Chromosome: [0, 1, 0, 0, 0, 1, 0]
94. Fitness: 0.881841, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
95. Fitness: 0.880002, Average: 0.679733, Chromosome: [0, 0, 1, 0, 1, 0, 0]
96. Fitness: 0.878863, Average: 0.598375, Chromosome: [0, 0, 0, 1, 0, 1, 1]
97. Fitness: 0.878599, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
98. Fitness: 0.876540, Average: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
