Details for patient C0676d, combinations ordered by fitness (best to worst):

1. Fitness: 0.965734, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
2. Fitness: 0.964868, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
3. Fitness: 0.964297, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
4. Fitness: 0.964295, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
5. Fitness: 0.962773, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
6. Fitness: 0.962760, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
7. Fitness: 0.962635, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
8. Fitness: 0.962166, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
9. Fitness: 0.962098, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
10. Fitness: 0.962085, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
11. Fitness: 0.961512, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
12. Fitness: 0.961309, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
13. Fitness: 0.961264, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
14. Fitness: 0.961239, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
15. Fitness: 0.960990, Average: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
16. Fitness: 0.960862, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
17. Fitness: 0.960771, Average: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
18. Fitness: 0.960760, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
19. Fitness: 0.960684, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
20. Fitness: 0.960675, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
21. Fitness: 0.960173, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
22. Fitness: 0.960160, Average: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
23. Fitness: 0.959418, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
24. Fitness: 0.959405, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
25. Fitness: 0.959042, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
26. Fitness: 0.959029, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
27. Fitness: 0.958857, Average: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
28. Fitness: 0.958750, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
29. Fitness: 0.958737, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
30. Fitness: 0.958216, Average: 0.754336, Chromosome: [1, 0, 0, 0, 0, 1, 1]
31. Fitness: 0.958165, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
32. Fitness: 0.957870, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
33. Fitness: 0.957840, Average: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
34. Fitness: 0.957650, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
35. Fitness: 0.957644, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
36. Fitness: 0.957637, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
37. Fitness: 0.957535, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
38. Fitness: 0.957522, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
39. Fitness: 0.957351, Average: 0.752535, Chromosome: [1, 0, 0, 0, 1, 0, 1]
40. Fitness: 0.957348, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
41. Fitness: 0.956766, Average: 0.598188, Chromosome: [0, 0, 0, 1, 1, 1, 1]
42. Fitness: 0.956527, Average: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
43. Fitness: 0.956312, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
44. Fitness: 0.956307, Average: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
45. Fitness: 0.956060, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
46. Fitness: 0.955690, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
47. Fitness: 0.955636, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
48. Fitness: 0.955302, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
49. Fitness: 0.955001, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
50. Fitness: 0.954991, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
51. Fitness: 0.954988, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
52. Fitness: 0.954448, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
53. Fitness: 0.954410, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
54. Fitness: 0.954397, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
55. Fitness: 0.954360, Average: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
56. Fitness: 0.953442, Average: 0.552607, Chromosome: [0, 0, 0, 0, 1, 1, 1]
57. Fitness: 0.953213, Average: 0.675861, Chromosome: [0, 0, 1, 0, 0, 1, 1]
58. Fitness: 0.953191, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
59. Fitness: 0.953141, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
60. Fitness: 0.953025, Average: 0.587667, Chromosome: [0, 0, 0, 1, 1, 0, 1]
61. Fitness: 0.952999, Average: 0.667249, Chromosome: [0, 0, 1, 0, 1, 0, 1]
62. Fitness: 0.952877, Average: 0.598375, Chromosome: [0, 0, 0, 1, 0, 1, 1]
63. Fitness: 0.952811, Average: 0.738108, Chromosome: [0, 1, 1, 0, 0, 1, 0]
64. Fitness: 0.952200, Average: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
65. Fitness: 0.952196, Average: 0.677043, Chromosome: [0, 0, 1, 1, 0, 1, 1]
66. Fitness: 0.952172, Average: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
67. Fitness: 0.952112, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
68. Fitness: 0.951801, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
69. Fitness: 0.951040, Average: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
70. Fitness: 0.950667, Average: 0.729928, Chromosome: [0, 1, 0, 0, 0, 1, 0]
71. Fitness: 0.949733, Average: 0.533622, Chromosome: [0, 0, 0, 0, 1, 0, 1]
72. Fitness: 0.949410, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
73. Fitness: 0.948576, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
74. Fitness: 0.948378, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
75. Fitness: 0.948365, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
76. Fitness: 0.948213, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
77. Fitness: 0.947348, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
78. Fitness: 0.946767, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
79. Fitness: 0.946761, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
80. Fitness: 0.946748, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
81. Fitness: 0.945872, Average: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
82. Fitness: 0.944395, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
83. Fitness: 0.943448, Average: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
84. Fitness: 0.942765, Average: 0.530906, Chromosome: [0, 0, 0, 0, 0, 1, 1]
85. Fitness: 0.940357, Average: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
86. Fitness: 0.940088, Average: 0.678682, Chromosome: [0, 0, 1, 1, 1, 1, 0]
87. Fitness: 0.939409, Average: 0.586434, Chromosome: [0, 0, 0, 1, 0, 0, 1]
88. Fitness: 0.939363, Average: 0.678059, Chromosome: [0, 0, 1, 1, 0, 0, 1]
89. Fitness: 0.938647, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
90. Fitness: 0.938634, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
91. Fitness: 0.938380, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
92. Fitness: 0.938367, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
93. Fitness: 0.937636, Average: 0.679475, Chromosome: [0, 0, 1, 0, 0, 0, 1]
94. Fitness: 0.937150, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
95. Fitness: 0.936614, Average: 0.688502, Chromosome: [0, 0, 1, 0, 0, 1, 0]
96. Fitness: 0.936104, Average: 0.687859, Chromosome: [0, 0, 1, 1, 0, 1, 0]
97. Fitness: 0.935999, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
98. Fitness: 0.935543, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
99. Fitness: 0.933579, Average: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
100. Fitness: 0.931291, Average: 0.738699, Chromosome: [0, 1, 1, 1, 1, 0, 0]
101. Fitness: 0.930985, Average: 0.737381, Chromosome: [0, 1, 1, 0, 1, 0, 0]
102. Fitness: 0.930195, Average: 0.603960, Chromosome: [0, 0, 0, 1, 1, 1, 0]
103. Fitness: 0.929758, Average: 0.732213, Chromosome: [0, 1, 0, 1, 1, 0, 0]
104. Fitness: 0.927766, Average: 0.728859, Chromosome: [0, 1, 0, 0, 1, 0, 0]
105. Fitness: 0.925754, Average: 0.605679, Chromosome: [0, 0, 0, 1, 0, 1, 0]
106. Fitness: 0.922686, Average: 0.555638, Chromosome: [0, 0, 0, 0, 1, 1, 0]
107. Fitness: 0.916030, Average: 0.752936, Chromosome: [0, 1, 1, 1, 0, 0, 0]
108. Fitness: 0.914778, Average: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
109. Fitness: 0.914764, Average: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
110. Fitness: 0.913306, Average: 0.679747, Chromosome: [0, 0, 1, 1, 1, 0, 0]
111. Fitness: 0.913232, Average: 0.746535, Chromosome: [0, 1, 0, 1, 0, 0, 0]
112. Fitness: 0.913001, Average: 0.465650, Chromosome: [0, 0, 0, 0, 0, 0, 1]
113. Fitness: 0.912861, Average: 0.679733, Chromosome: [0, 0, 1, 0, 1, 0, 0]
114. Fitness: 0.912708, Average: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
115. Fitness: 0.910976, Average: 0.770443, Chromosome: [1, 0, 0, 1, 0, 0, 0]
116. Fitness: 0.910957, Average: 0.536070, Chromosome: [0, 0, 0, 0, 0, 1, 0]
117. Fitness: 0.908625, Average: 0.588112, Chromosome: [0, 0, 0, 1, 1, 0, 0]
118. Fitness: 0.903784, Average: 0.759290, Chromosome: [0, 1, 1, 0, 0, 0, 0]
119. Fitness: 0.903466, Average: 0.516132, Chromosome: [0, 0, 0, 0, 1, 0, 0]
120. Fitness: 0.897735, Average: 0.699749, Chromosome: [0, 0, 1, 1, 0, 0, 0]
121. Fitness: 0.897205, Average: 0.779143, Chromosome: [1, 1, 1, 0, 0, 0, 0]
122. Fitness: 0.897190, Average: 0.777331, Chromosome: [1, 0, 1, 0, 0, 0, 0]
123. Fitness: 0.895842, Average: 0.751920, Chromosome: [0, 1, 0, 0, 0, 0, 0]
124. Fitness: 0.889070, Average: 0.593810, Chromosome: [0, 0, 0, 1, 0, 0, 0]
125. Fitness: 0.886385, Average: 0.774044, Chromosome: [1, 1, 0, 0, 0, 0, 0]
126. Fitness: 0.881457, Average: 0.709798, Chromosome: [0, 0, 1, 0, 0, 0, 0]
127. Fitness: 0.881322, Average: 0.769838, Chromosome: [1, 0, 0, 0, 0, 0, 0]
