Details for patient C0793d, combinations ordered by fitness (best to worst):

1. Fitness: 0.914755, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
2. Fitness: 0.914235, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
3. Fitness: 0.913715, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
4. Fitness: 0.913418, Average: 0.587667, Chromosome: [0, 0, 0, 1, 1, 0, 1]
5. Fitness: 0.911657, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
6. Fitness: 0.911437, Average: 0.678059, Chromosome: [0, 0, 1, 1, 0, 0, 1]
7. Fitness: 0.911411, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
8. Fitness: 0.911385, Average: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
9. Fitness: 0.911318, Average: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
10. Fitness: 0.911291, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
11. Fitness: 0.910322, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
12. Fitness: 0.909961, Average: 0.679475, Chromosome: [0, 0, 1, 0, 0, 0, 1]
13. Fitness: 0.909764, Average: 0.533622, Chromosome: [0, 0, 0, 0, 1, 0, 1]
14. Fitness: 0.909611, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
15. Fitness: 0.909461, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
16. Fitness: 0.909386, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
17. Fitness: 0.909171, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
18. Fitness: 0.909096, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
19. Fitness: 0.908988, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
20. Fitness: 0.908676, Average: 0.586434, Chromosome: [0, 0, 0, 1, 0, 0, 1]
21. Fitness: 0.908427, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
22. Fitness: 0.908349, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
23. Fitness: 0.908308, Average: 0.667249, Chromosome: [0, 0, 1, 0, 1, 0, 1]
24. Fitness: 0.907501, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
25. Fitness: 0.907369, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
26. Fitness: 0.907296, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
27. Fitness: 0.906797, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
28. Fitness: 0.906720, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
29. Fitness: 0.906679, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
30. Fitness: 0.906422, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
31. Fitness: 0.906221, Average: 0.598188, Chromosome: [0, 0, 0, 1, 1, 1, 1]
32. Fitness: 0.906209, Average: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
33. Fitness: 0.906167, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
34. Fitness: 0.906008, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
35. Fitness: 0.905803, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
36. Fitness: 0.905744, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
37. Fitness: 0.905669, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
38. Fitness: 0.905651, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
39. Fitness: 0.905596, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
40. Fitness: 0.905452, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
