Details for patient C0845d, combinations ordered by fitness (best to worst):

1. Fitness: 0.847158, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
2. Fitness: 0.846757, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
3. Fitness: 0.845332, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
4. Fitness: 0.845199, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
5. Fitness: 0.844933, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
6. Fitness: 0.844335, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
7. Fitness: 0.843937, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
8. Fitness: 0.843918, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
9. Fitness: 0.843537, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
10. Fitness: 0.843482, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
11. Fitness: 0.843305, Average: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
12. Fitness: 0.842458, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
13. Fitness: 0.842298, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
14. Fitness: 0.842102, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
15. Fitness: 0.842080, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
16. Fitness: 0.842041, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
17. Fitness: 0.841954, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
18. Fitness: 0.841708, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
19. Fitness: 0.840458, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
20. Fitness: 0.840246, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
21. Fitness: 0.840217, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
