Details for patient C0013d, combinations ordered by fitness (best to worst):

1. Fitness: 0.944362, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
2. Fitness: 0.944025, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
3. Fitness: 0.943210, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
4. Fitness: 0.943000, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
5. Fitness: 0.942970, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
6. Fitness: 0.942875, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
7. Fitness: 0.942625, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
8. Fitness: 0.941588, Average: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
9. Fitness: 0.941127, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
10. Fitness: 0.940773, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
11. Fitness: 0.939938, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
12. Fitness: 0.939689, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
13. Fitness: 0.939586, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
14. Fitness: 0.939456, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
15. Fitness: 0.939293, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
16. Fitness: 0.937997, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
17. Fitness: 0.937831, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
18. Fitness: 0.937489, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
19. Fitness: 0.936821, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
20. Fitness: 0.936606, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
21. Fitness: 0.936481, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
22. Fitness: 0.936401, Average: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
23. Fitness: 0.936223, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
24. Fitness: 0.934988, Average: 0.752535, Chromosome: [1, 0, 0, 0, 1, 0, 1]
25. Fitness: 0.934553, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
26. Fitness: 0.934200, Average: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
27. Fitness: 0.934012, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
28. Fitness: 0.933793, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
29. Fitness: 0.933667, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
30. Fitness: 0.933404, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
31. Fitness: 0.932385, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
32. Fitness: 0.932351, Average: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
33. Fitness: 0.932348, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
34. Fitness: 0.931437, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
35. Fitness: 0.931398, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
36. Fitness: 0.931202, Average: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
37. Fitness: 0.931137, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
38. Fitness: 0.931064, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
39. Fitness: 0.931035, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
40. Fitness: 0.930931, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
41. Fitness: 0.930924, Average: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
42. Fitness: 0.930727, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
43. Fitness: 0.930661, Average: 0.754336, Chromosome: [1, 0, 0, 0, 0, 1, 1]
44. Fitness: 0.930564, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
45. Fitness: 0.930433, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
46. Fitness: 0.930308, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
47. Fitness: 0.929363, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
48. Fitness: 0.929126, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
49. Fitness: 0.929106, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
50. Fitness: 0.929001, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
51. Fitness: 0.928962, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
52. Fitness: 0.928770, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
53. Fitness: 0.928644, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
54. Fitness: 0.928366, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
55. Fitness: 0.927382, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
56. Fitness: 0.926962, Average: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
57. Fitness: 0.925511, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
58. Fitness: 0.925487, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
59. Fitness: 0.924353, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
60. Fitness: 0.923852, Average: 0.738108, Chromosome: [0, 1, 1, 0, 0, 1, 0]
61. Fitness: 0.923709, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
62. Fitness: 0.923680, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
63. Fitness: 0.923547, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
64. Fitness: 0.923330, Average: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
65. Fitness: 0.923195, Average: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
66. Fitness: 0.922829, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
67. Fitness: 0.922694, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
68. Fitness: 0.922635, Average: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
69. Fitness: 0.922577, Average: 0.729928, Chromosome: [0, 1, 0, 0, 0, 1, 0]
70. Fitness: 0.922336, Average: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
71. Fitness: 0.922144, Average: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
72. Fitness: 0.920896, Average: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
73. Fitness: 0.920774, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
74. Fitness: 0.920625, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
75. Fitness: 0.920623, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
76. Fitness: 0.919298, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
