Details for patient C0808d, combinations ordered by fitness (best to worst):

1. Fitness: 0.840557, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
2. Fitness: 0.840557, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
3. Fitness: 0.839739, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
4. Fitness: 0.839453, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
5. Fitness: 0.833976, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
6. Fitness: 0.833976, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
7. Fitness: 0.833756, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
8. Fitness: 0.833756, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
9. Fitness: 0.833243, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
10. Fitness: 0.832967, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
11. Fitness: 0.832583, Average: 0.678682, Chromosome: [0, 0, 1, 1, 1, 1, 0]
12. Fitness: 0.832436, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
13. Fitness: 0.832436, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
14. Fitness: 0.831677, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
15. Fitness: 0.831429, Average: 0.603960, Chromosome: [0, 0, 0, 1, 1, 1, 0]
16. Fitness: 0.831392, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
17. Fitness: 0.828051, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
18. Fitness: 0.828044, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
19. Fitness: 0.828044, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
20. Fitness: 0.827911, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
21. Fitness: 0.827911, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
22. Fitness: 0.827038, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
23. Fitness: 0.826734, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
24. Fitness: 0.826732, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
25. Fitness: 0.826286, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
26. Fitness: 0.826286, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
27. Fitness: 0.826229, Average: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
28. Fitness: 0.825977, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
29. Fitness: 0.825170, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
30. Fitness: 0.822654, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
31. Fitness: 0.822259, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
32. Fitness: 0.822259, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
33. Fitness: 0.822045, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
34. Fitness: 0.822045, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
35. Fitness: 0.821481, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
36. Fitness: 0.821439, Average: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
