Details for patient C0024d, combinations ordered by fitness (best to worst):

1. Fitness: 0.880525, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
2. Fitness: 0.879245, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
3. Fitness: 0.878132, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
4. Fitness: 0.877254, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
5. Fitness: 0.876709, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
6. Fitness: 0.876531, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
7. Fitness: 0.875446, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
8. Fitness: 0.875065, Average: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
9. Fitness: 0.874489, Average: 0.677043, Chromosome: [0, 0, 1, 1, 0, 1, 1]
10. Fitness: 0.873951, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
11. Fitness: 0.872688, Average: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
12. Fitness: 0.872511, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
13. Fitness: 0.872324, Average: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
14. Fitness: 0.871907, Average: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
15. Fitness: 0.871843, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
16. Fitness: 0.871672, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
17. Fitness: 0.871492, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
18. Fitness: 0.870527, Average: 0.678682, Chromosome: [0, 0, 1, 1, 1, 1, 0]
19. Fitness: 0.869970, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
20. Fitness: 0.869837, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
21. Fitness: 0.869761, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
22. Fitness: 0.869177, Average: 0.687859, Chromosome: [0, 0, 1, 1, 0, 1, 0]
23. Fitness: 0.868999, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
24. Fitness: 0.868840, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
25. Fitness: 0.867823, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
26. Fitness: 0.867316, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
27. Fitness: 0.867138, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
28. Fitness: 0.867084, Average: 0.675861, Chromosome: [0, 0, 1, 0, 0, 1, 1]
29. Fitness: 0.866924, Average: 0.738108, Chromosome: [0, 1, 1, 0, 0, 1, 0]
30. Fitness: 0.866832, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
31. Fitness: 0.866505, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
32. Fitness: 0.866249, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
33. Fitness: 0.866208, Average: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
34. Fitness: 0.866183, Average: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
35. Fitness: 0.865986, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
36. Fitness: 0.865521, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
37. Fitness: 0.865421, Average: 0.598188, Chromosome: [0, 0, 0, 1, 1, 1, 1]
38. Fitness: 0.864624, Average: 0.598375, Chromosome: [0, 0, 0, 1, 0, 1, 1]
39. Fitness: 0.864545, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
40. Fitness: 0.864316, Average: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
41. Fitness: 0.864276, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
42. Fitness: 0.864049, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
43. Fitness: 0.863321, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
44. Fitness: 0.863148, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
45. Fitness: 0.863080, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
46. Fitness: 0.862756, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
47. Fitness: 0.862132, Average: 0.667249, Chromosome: [0, 0, 1, 0, 1, 0, 1]
48. Fitness: 0.862054, Average: 0.752936, Chromosome: [0, 1, 1, 1, 0, 0, 0]
49. Fitness: 0.861444, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
50. Fitness: 0.861303, Average: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
51. Fitness: 0.861134, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
52. Fitness: 0.860960, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
53. Fitness: 0.860861, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
54. Fitness: 0.860519, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
55. Fitness: 0.860252, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
56. Fitness: 0.860247, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
57. Fitness: 0.860137, Average: 0.603960, Chromosome: [0, 0, 0, 1, 1, 1, 0]
58. Fitness: 0.860111, Average: 0.678059, Chromosome: [0, 0, 1, 1, 0, 0, 1]
59. Fitness: 0.860003, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
60. Fitness: 0.859971, Average: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
61. Fitness: 0.859656, Average: 0.688502, Chromosome: [0, 0, 1, 0, 0, 1, 0]
62. Fitness: 0.858478, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
63. Fitness: 0.858442, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
64. Fitness: 0.858298, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
65. Fitness: 0.857933, Average: 0.605679, Chromosome: [0, 0, 0, 1, 0, 1, 0]
66. Fitness: 0.857864, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
67. Fitness: 0.857814, Average: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
68. Fitness: 0.857116, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
69. Fitness: 0.857033, Average: 0.746535, Chromosome: [0, 1, 0, 1, 0, 0, 0]
70. Fitness: 0.856976, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
71. Fitness: 0.854596, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
72. Fitness: 0.854402, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
73. Fitness: 0.854259, Average: 0.738699, Chromosome: [0, 1, 1, 1, 1, 0, 0]
74. Fitness: 0.854162, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
75. Fitness: 0.853921, Average: 0.587667, Chromosome: [0, 0, 0, 1, 1, 0, 1]
76. Fitness: 0.853797, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
77. Fitness: 0.853422, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
78. Fitness: 0.852677, Average: 0.699749, Chromosome: [0, 0, 1, 1, 0, 0, 0]
79. Fitness: 0.852609, Average: 0.729928, Chromosome: [0, 1, 0, 0, 0, 1, 0]
80. Fitness: 0.852201, Average: 0.552607, Chromosome: [0, 0, 0, 0, 1, 1, 1]
81. Fitness: 0.851386, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
82. Fitness: 0.851184, Average: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
83. Fitness: 0.850708, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
84. Fitness: 0.849847, Average: 0.732213, Chromosome: [0, 1, 0, 1, 1, 0, 0]
85. Fitness: 0.849568, Average: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
86. Fitness: 0.849114, Average: 0.555638, Chromosome: [0, 0, 0, 0, 1, 1, 0]
87. Fitness: 0.848655, Average: 0.752535, Chromosome: [1, 0, 0, 0, 1, 0, 1]
88. Fitness: 0.847491, Average: 0.679475, Chromosome: [0, 0, 1, 0, 0, 0, 1]
89. Fitness: 0.847399, Average: 0.530906, Chromosome: [0, 0, 0, 0, 0, 1, 1]
90. Fitness: 0.847340, Average: 0.754336, Chromosome: [1, 0, 0, 0, 0, 1, 1]
91. Fitness: 0.846613, Average: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
92. Fitness: 0.846420, Average: 0.737381, Chromosome: [0, 1, 1, 0, 1, 0, 0]
93. Fitness: 0.846398, Average: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
94. Fitness: 0.845774, Average: 0.759290, Chromosome: [0, 1, 1, 0, 0, 0, 0]
95. Fitness: 0.845755, Average: 0.679747, Chromosome: [0, 0, 1, 1, 1, 0, 0]
96. Fitness: 0.844887, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
97. Fitness: 0.844800, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
98. Fitness: 0.844656, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
99. Fitness: 0.844629, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
100. Fitness: 0.843542, Average: 0.586434, Chromosome: [0, 0, 0, 1, 0, 0, 1]
101. Fitness: 0.841767, Average: 0.536070, Chromosome: [0, 0, 0, 0, 0, 1, 0]
102. Fitness: 0.841419, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
103. Fitness: 0.841370, Average: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
104. Fitness: 0.840388, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
105. Fitness: 0.839291, Average: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
106. Fitness: 0.838921, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
107. Fitness: 0.837542, Average: 0.770443, Chromosome: [1, 0, 0, 1, 0, 0, 0]
108. Fitness: 0.837395, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
109. Fitness: 0.837109, Average: 0.533622, Chromosome: [0, 0, 0, 0, 1, 0, 1]
110. Fitness: 0.836316, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
111. Fitness: 0.836220, Average: 0.679733, Chromosome: [0, 0, 1, 0, 1, 0, 0]
112. Fitness: 0.836056, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
113. Fitness: 0.833697, Average: 0.728859, Chromosome: [0, 1, 0, 0, 1, 0, 0]
114. Fitness: 0.830682, Average: 0.709798, Chromosome: [0, 0, 1, 0, 0, 0, 0]
115. Fitness: 0.830479, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
116. Fitness: 0.828021, Average: 0.593810, Chromosome: [0, 0, 0, 1, 0, 0, 0]
117. Fitness: 0.827588, Average: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
118. Fitness: 0.825705, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
119. Fitness: 0.825301, Average: 0.588112, Chromosome: [0, 0, 0, 1, 1, 0, 0]
120. Fitness: 0.824961, Average: 0.779143, Chromosome: [1, 1, 1, 0, 0, 0, 0]
121. Fitness: 0.824633, Average: 0.777331, Chromosome: [1, 0, 1, 0, 0, 0, 0]
122. Fitness: 0.823307, Average: 0.751920, Chromosome: [0, 1, 0, 0, 0, 0, 0]
123. Fitness: 0.821870, Average: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
124. Fitness: 0.805972, Average: 0.774044, Chromosome: [1, 1, 0, 0, 0, 0, 0]
125. Fitness: 0.800883, Average: 0.465650, Chromosome: [0, 0, 0, 0, 0, 0, 1]
126. Fitness: 0.798767, Average: 0.769838, Chromosome: [1, 0, 0, 0, 0, 0, 0]
127. Fitness: 0.792669, Average: 0.516132, Chromosome: [0, 0, 0, 0, 1, 0, 0]
