Prefix,Archivo,Resumen
C0011d,C0011d_N1_mask.bmp,"N1 (11 regs): A=[4290   657   247   238   148   104    66    60    30    12    10] C=[0.95 0.51 0.37 0.32 1.13 1.14 1.13 0.81 1.45 1.65 1.81]"
C0011d,C0011d_N2_mask.bmp,"N2 (3 regs): A=[3846   116    19] C=[0.98 0.94 1.33]"
C0011d,C0011d_N3_mask.bmp,"N3 (1 regs): A=[3275] C=[0.89]"
C0011d,C0011d_N4_mask.bmp,"N4 (1 regs): A=[1872] C=[0.96]"
C0011d,C0011d_N5_mask.bmp,"N5 (2 regs): A=[44  38] C=[0.98 1.33]"
C0011d,C0011d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0011d,C0011d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0011i,C0011i_N1_mask.bmp,"N1 (5 regs): A=[3106   867   794   648   423] C=[0.92 0.79 0.41 0.60 0.46]"
C0011i,C0011i_N2_mask.bmp,"N2 (5 regs): A=[2533   563   549   190   169] C=[1.00 0.87 0.44 0.43 0.94]"
C0011i,C0011i_N3_mask.bmp,"N3 (4 regs): A=[1597   649   337    42] C=[1.00 0.91 0.35 0.54]"
C0011i,C0011i_N4_mask.bmp,"N4 (2 regs): A=[1182    61] C=[0.90 0.86]"
C0011i,C0011i_N5_mask.bmp,"N5 (1 regs): A=[1302] C=[0.92]"
C0011i,C0011i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0011i,C0011i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0012d,C0012d_N1_mask.bmp,"N1 (11 regs): A=[8176  4910  3241   665   353   327   132    95    48    34    20] C=[0.94 0.53 0.15 0.47 0.45 0.45 0.87 0.91 0.84 1.32 1.11]"
C0012d,C0012d_N2_mask.bmp,"N2 (9 regs): A=[7407  3051  2391   586   374   101    49    31    26] C=[0.97 0.80 0.16 0.40 0.59 0.83 0.58 0.51 0.93]"
C0012d,C0012d_N3_mask.bmp,"N3 (7 regs): A=[6612  2969  2028   695   333    41    30] C=[0.99 0.87 0.15 0.47 0.19 0.97 0.65]"
C0012d,C0012d_N4_mask.bmp,"N4 (5 regs): A=[5723  4534  1707   350   165] C=[0.94 0.49 0.24 0.56 0.64]"
C0012d,C0012d_N5_mask.bmp,"N5 (5 regs): A=[9863  2539   799    88    88] C=[0.55 0.36 0.47 0.87 0.43]"
C0012d,C0012d_N6_mask.bmp,"N6 (8 regs): A=[5026  3519  1968   324   139   137    96    79] C=[0.89 0.46 0.35 0.53 0.40 0.65 0.81 0.77]"
C0012d,C0012d_N7_mask.bmp,"N7 (9 regs): A=[2723  2357  2245   469   282   224   180    37    31] C=[0.49 0.81 0.61 0.52 0.39 0.38 0.97 0.79 0.87]"
C0012i,C0012i_N1_mask.bmp,"N1 (11 regs): A=[8610  3537  1298   344   296   286   276   193   130    86    13] C=[0.95 0.24 0.19 0.61 0.75 0.52 0.36 0.91 0.92 1.01 1.12]"
C0012i,C0012i_N2_mask.bmp,"N2 (6 regs): A=[7633  3031   153    86    72    38] C=[0.98 0.26 0.53 0.92 0.97 0.81]"
C0012i,C0012i_N3_mask.bmp,"N3 (5 regs): A=[6618  2920    46    45    18] C=[0.97 0.31 0.69 0.98 1.36]"
C0012i,C0012i_N4_mask.bmp,"N4 (4 regs): A=[5207  3360    65    38] C=[0.96 0.34 1.05 0.74]"
C0012i,C0012i_N5_mask.bmp,"N5 (4 regs): A=[5278  3000   988   175] C=[0.41 0.95 0.35 0.89]"
C0012i,C0012i_N6_mask.bmp,"N6 (4 regs): A=[7383  1230    92    29] C=[0.25 0.49 0.76 0.96]"
C0012i,C0012i_N7_mask.bmp,"N7 (3 regs): A=[6953   373   140] C=[0.19 0.83 0.52]"
C0013d,C0013d_N1_mask.bmp,"N1 (11 regs): A=[14537   7253   3166   1112    830    488    367    101     32     19     10] C=[0.48 0.21 0.34 0.74 0.87 0.40 0.51 0.67 1.35 0.64 1.30]"
C0013d,C0013d_N2_mask.bmp,"N2 (11 regs): A=[12449   5571   1991    844    595    173    137    110     61     16     10] C=[0.54 0.24 0.49 0.68 0.90 1.07 0.51 0.86 0.66 0.41 1.30]"
C0013d,C0013d_N3_mask.bmp,"N3 (8 regs): A=[11689   3126   1904   1593    752    308    119     68] C=[0.66 0.71 0.54 0.42 0.25 0.93 0.23 1.11]"
C0013d,C0013d_N4_mask.bmp,"N4 (6 regs): A=[13514   2842   1461    643    279     40] C=[0.58 0.74 0.56 0.36 0.38 1.18]"
C0013d,C0013d_N5_mask.bmp,"N5 (7 regs): A=[14738   3021   2490    957    662     64     12] C=[0.63 0.78 0.47 0.55 0.48 1.21 0.32]"
C0013d,C0013d_N6_mask.bmp,"N6 (5 regs): A=[15771   6252    451     29     21] C=[0.17 0.58 0.49 0.49 1.27]"
C0013d,C0013d_N7_mask.bmp,"N7 (8 regs): A=[16747   1220    424     75     64     33     23     19] C=[0.16 0.60 0.67 0.76 1.10 1.26 1.43 1.23]"
C0013i,C0013i_N1_mask.bmp,"N1 (4 regs): A=[26091   2546   1347    780] C=[0.16 0.39 0.43 0.73]"
