Prefix,Archivo,Resumen
C0013i,C0013i_N2_mask.bmp,"N2 (5 regs): A=[22906   1264    661    179     30] C=[0.18 0.71 0.22 0.65 1.33]"
C0013i,C0013i_N3_mask.bmp,"N3 (4 regs): A=[21161    744    261    161] C=[0.19 0.78 0.46 0.69]"
C0013i,C0013i_N4_mask.bmp,"N4 (5 regs): A=[19462    597    380    291    125] C=[0.23 0.29 0.86 0.86 0.27]"
C0013i,C0013i_N5_mask.bmp,"N5 (4 regs): A=[13906   7264    493    373] C=[0.44 0.46 0.42 0.60]"
C0013i,C0013i_N6_mask.bmp,"N6 (3 regs): A=[15069   6274    137] C=[0.32 0.59 0.61]"
C0013i,C0013i_N7_mask.bmp,"N7 (7 regs): A=[15043   3024    134    111     97     56     34] C=[0.25 0.44 0.99 0.96 0.57 0.84 1.25]"
C0014d,C0014d_N1_mask.bmp,"N1 (10 regs): A=[5793  2608  2194  1440  1177  1170   867   494   398    71] C=[0.68 0.25 0.37 0.31 0.33 0.40 0.25 0.67 0.40 1.15]"
C0014d,C0014d_N2_mask.bmp,"N2 (12 regs): A=[5169  1684  1308  1135   888   442   426   275   245   196   178    99] C=[0.80 0.33 0.50 0.28 0.34 0.71 0.34 0.84 0.44 0.45 0.43 0.91]"
C0014d,C0014d_N3_mask.bmp,"N3 (12 regs): A=[4574  1459  1278   958   841   573   268   219   186   124   117    18] C=[0.92 0.34 0.51 0.68 0.41 0.38 0.44 0.39 0.71 0.97 0.60 1.48]"
C0014d,C0014d_N4_mask.bmp,"N4 (9 regs): A=[3503  2511  1156  1150   936   827   487   272   168] C=[0.71 0.34 0.58 0.31 0.66 0.29 1.03 0.91 0.57]"
C0014d,C0014d_N5_mask.bmp,"N5 (6 regs): A=[6381  1483  1330   953   629    10] C=[0.26 0.45 0.44 0.34 0.99 1.21]"
C0014d,C0014d_N6_mask.bmp,"N6 (5 regs): A=[5318  1889   333   161   127] C=[0.39 0.55 0.84 0.93 0.52]"
C0014d,C0014d_N7_mask.bmp,"N7 (5 regs): A=[2563  1744   817   392    31] C=[0.74 0.61 0.56 0.79 0.95]"
C0014i,C0014i_N1_mask.bmp,"N1 (9 regs): A=[9836  3981  1127   557   198   172   149   117    84] C=[0.35 0.20 0.67 0.33 0.51 0.40 0.80 0.75 0.80]"
C0014i,C0014i_N2_mask.bmp,"N2 (7 regs): A=[8587  3232   732   171    75    30    15] C=[0.59 0.24 0.71 0.46 0.91 0.78 1.35]"
C0014i,C0014i_N3_mask.bmp,"N3 (3 regs): A=[7766  2948    81] C=[0.48 0.27 0.80]"
C0014i,C0014i_N4_mask.bmp,"N4 (3 regs): A=[4947  2758    38] C=[0.77 0.32 1.06]"
C0014i,C0014i_N5_mask.bmp,"N5 (1 regs): A=[7741] C=[0.35]"
C0014i,C0014i_N6_mask.bmp,"N6 (3 regs): A=[6376   199    39] C=[0.47 0.74 1.03]"
C0014i,C0014i_N7_mask.bmp,"N7 (5 regs): A=[5145   339    47    46    13] C=[0.53 0.99 1.31 0.72 0.81]"
C0015d,C0015d_N1_mask.bmp,"N1 (5 regs): A=[11945   6258   3367    373     71] C=[0.22 0.26 0.43 1.05 0.55]"
C0015d,C0015d_N2_mask.bmp,"N2 (8 regs): A=[5227  4684  3704  2098   455   323   112    84] C=[0.33 0.84 0.55 0.74 0.75 0.92 1.09 1.12]"
C0015d,C0015d_N3_mask.bmp,"N3 (6 regs): A=[4999  3863  3609  1577   207    13] C=[0.39 0.59 0.82 0.78 0.82 1.00]"
C0015d,C0015d_N4_mask.bmp,"N4 (4 regs): A=[6425  4826  1229    61] C=[0.56 0.41 0.87 0.73]"
C0015d,C0015d_N5_mask.bmp,"N5 (6 regs): A=[11323    679    233    122     86     21] C=[0.33 0.92 0.70 0.50 0.31 0.89]"
C0015d,C0015d_N6_mask.bmp,"N6 (3 regs): A=[10971   1095   1077] C=[0.37 0.29 0.45]"
C0015d,C0015d_N7_mask.bmp,"N7 (3 regs): A=[9012  2345    34] C=[0.20 0.51 0.82]"
C0015i,C0015i_N1_mask.bmp,"N1 (5 regs): A=[7061  6599  4773   140    62] C=[0.27 0.22 0.33 0.93 1.04]"
C0015i,C0015i_N2_mask.bmp,"N2 (5 regs): A=[6222  4349  3530   309    11] C=[0.30 0.54 0.32 0.86 0.99]"
C0015i,C0015i_N3_mask.bmp,"N3 (7 regs): A=[5824  3980   963   695    17    15    14] C=[0.27 0.51 0.43 0.98 0.53 0.39 1.47]"
C0015i,C0015i_N4_mask.bmp,"N4 (6 regs): A=[4786  3498   826    93    29    26] C=[0.30 0.52 0.65 0.49 1.24 1.28]"
C0015i,C0015i_N5_mask.bmp,"N5 (6 regs): A=[3437  3264  1423   222    56    14] C=[0.61 0.61 0.43 0.75 1.16 1.72]"
C0015i,C0015i_N6_mask.bmp,"N6 (4 regs): A=[3005  2478  1891   291] C=[0.65 0.82 0.48 0.81]"
C0015i,C0015i_N7_mask.bmp,"N7 (6 regs): A=[1896  1569   872   241   157   150] C=[0.61 0.67 0.85 0.59 0.74 0.43]"
