Prefix,Archivo,Resumen
C0676d,C0676d_N1_mask.bmp,"N1 (7 regs): A=[26370  11169    388    158    151     21     13] C=[0.24 0.25 0.66 0.51 0.52 1.11 1.09]"
C0676d,C0676d_N2_mask.bmp,"N2 (5 regs): A=[22113  10099   1702     52     32] C=[0.34 0.22 0.51 0.70 0.86]"
C0676d,C0676d_N3_mask.bmp,"N3 (4 regs): A=[20661  10384   1115     77] C=[0.33 0.31 0.51 0.65]"
C0676d,C0676d_N4_mask.bmp,"N4 (3 regs): A=[18975  10996    139] C=[0.25 0.34 0.56]"
C0676d,C0676d_N5_mask.bmp,"N5 (4 regs): A=[32251    251     51     15] C=[0.21 0.77 0.52 0.72]"
C0676d,C0676d_N6_mask.bmp,"N6 (5 regs): A=[32159   1666    334     41     15] C=[0.21 0.41 0.73 0.83 0.96]"
C0676d,C0676d_N7_mask.bmp,"N7 (3 regs): A=[34223     27     16] C=[0.11 1.00 1.57]"
C0676i,C0676i_N1_mask.bmp,"N1 (12 regs): A=[10757  10399   8308   2136    966    175    169    111     64     44     43     15] C=[0.24 0.31 0.31 0.97 0.76 0.88 0.91 0.96 1.11 1.20 1.31 1.05]"
C0676i,C0676i_N2_mask.bmp,"N2 (10 regs): A=[9771  9244  7155  1819   695    88    55    43    12    10] C=[0.24 0.29 0.33 1.00 0.77 1.06 0.53 0.41 1.62 1.21]"
C0676i,C0676i_N3_mask.bmp,"N3 (7 regs): A=[26184   1146    172    163    118     34     19] C=[0.12 0.47 0.60 0.99 0.61 0.51 0.68]"
C0676i,C0676i_N4_mask.bmp,"N4 (6 regs): A=[25661    437    260    208     59     47] C=[0.17 0.91 0.73 0.76 0.89 1.24]"
C0676i,C0676i_N5_mask.bmp,"N5 (6 regs): A=[27640     81     69     38     24     12] C=[0.46 0.98 1.00 0.63 1.12 1.22]"
C0676i,C0676i_N6_mask.bmp,"N6 (5 regs): A=[27706     83     44     44     14] C=[0.49 0.44 1.24 1.14 0.63]"
C0676i,C0676i_N7_mask.bmp,"N7 (9 regs): A=[23499   1251    329    212     84     75     22     15     10] C=[0.20 0.45 0.67 0.39 0.71 0.52 0.75 1.60 1.19]"
