Prefix,Archivo,Resumen
C0024d,C0024d_N1_mask.bmp,"N1 (9 regs): A=[5142  4079  2971  1458  1385  1159   246   133   117] C=[0.28 0.94 0.16 0.45 0.46 0.74 0.60 1.14 1.08]"
C0024d,C0024d_N2_mask.bmp,"N2 (7 regs): A=[4450  3699  2693  1117   973   724    20] C=[0.33 0.98 0.16 0.56 0.51 0.79 0.85]"
C0024d,C0024d_N3_mask.bmp,"N3 (11 regs): A=[4234  3084  1948   930   660   634   395    69    33    22    11] C=[0.40 0.95 0.27 0.59 0.28 0.59 0.75 0.27 0.58 0.41 0.36]"
C0024d,C0024d_N4_mask.bmp,"N4 (11 regs): A=[4355  1857  1750   703   634   307   276   137   131   113    21] C=[0.48 0.25 0.80 0.59 0.52 0.91 0.65 0.43 0.79 0.54 1.18]"
C0024d,C0024d_N5_mask.bmp,"N5 (8 regs): A=[4595  1779  1310   959   312   294   189   149] C=[0.64 0.40 0.35 0.84 0.56 0.68 0.80 0.27]"
C0024d,C0024d_N6_mask.bmp,"N6 (7 regs): A=[3735  2281  2021  1042   522   446   235] C=[0.58 0.41 0.49 0.31 0.44 0.58 0.77]"
C0024d,C0024d_N7_mask.bmp,"N7 (4 regs): A=[6460  2000   859    50] C=[0.33 0.30 0.66 0.95]"
C0024i,C0024i_N1_mask.bmp,"N1 (10 regs): A=[3252  2971  2831  1239   517   358   189   160   100    43] C=[0.17 0.98 0.19 0.24 0.84 0.52 0.48 1.10 0.67 0.60]"
C0024i,C0024i_N2_mask.bmp,"N2 (12 regs): A=[2483  1719   821   786   597   458   314   187   123    55    33    13] C=[1.00 0.28 0.93 0.64 0.30 0.60 0.71 0.53 0.92 0.76 0.73 1.23]"
C0024i,C0024i_N3_mask.bmp,"N3 (6 regs): A=[2277  1525  1144   689   646   143] C=[0.27 1.03 0.32 0.52 0.96 0.35]"
C0024i,C0024i_N4_mask.bmp,"N4 (5 regs): A=[2038  1360   486   423    22] C=[0.36 0.47 0.88 0.64 1.44]"
C0024i,C0024i_N5_mask.bmp,"N5 (4 regs): A=[2209  1845   195    46] C=[0.48 0.53 0.52 0.75]"
C0024i,C0024i_N6_mask.bmp,"N6 (3 regs): A=[2907  1837   159] C=[0.72 0.66 0.58]"
C0024i,C0024i_N7_mask.bmp,"N7 (2 regs): A=[1871  1502] C=[0.83 0.67]"
C0030d,C0030d_N1_mask.bmp,"N1 (10 regs): A=[4602  2392   287   147   120    69    65    53    48    30] C=[0.57 0.27 0.94 1.11 1.04 1.06 1.09 1.03 1.25 1.29]"
C0030d,C0030d_N2_mask.bmp,"N2 (2 regs): A=[3410  1678] C=[0.58 0.29]"
C0030d,C0030d_N3_mask.bmp,"N3 (3 regs): A=[1680   683   271] C=[0.69 0.53 0.54]"
C0030d,C0030d_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0030d,C0030d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0030d,C0030d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0030d,C0030d_N7_mask.bmp,"N7 (2 regs): A=[664   71] C=[0.56 0.98]"
C0030i,C0030i_N1_mask.bmp,"N1 (9 regs): A=[4806  3419  1866   924   278   187   180    44    10] C=[0.41 0.24 0.63 0.85 0.98 0.91 0.96 0.74 1.55]"
C0030i,C0030i_N2_mask.bmp,"N2 (6 regs): A=[4159  2225  1047   495   454    84] C=[0.54 0.46 0.53 0.96 0.58 1.02]"
C0030i,C0030i_N3_mask.bmp,"N3 (5 regs): A=[3219  1722   267   262   184] C=[0.79 0.48 0.84 0.90 0.97]"
C0030i,C0030i_N4_mask.bmp,"N4 (5 regs): A=[1738  1061   344   144    40] C=[0.88 0.49 0.75 0.97 1.16]"
C0030i,C0030i_N5_mask.bmp,"N5 (2 regs): A=[169  162] C=[1.02 0.88]"
C0030i,C0030i_N6_mask.bmp,"N6 (2 regs): A=[1115   738] C=[0.57 0.71]"
C0030i,C0030i_N7_mask.bmp,"N7 (3 regs): A=[921  411  256] C=[0.52 0.94 0.52]"
C0623d,C0623d_N1_mask.bmp,"N1 (10 regs): A=[4181   207   140    72    51    44    33    30    26    10] C=[0.94 0.82 1.04 0.76 0.88 1.30 1.31 1.16 1.23 1.81]"
C0623d,C0623d_N2_mask.bmp,"N2 (5 regs): A=[3533    52    50    49    38] C=[0.99 1.06 0.68 1.06 0.73]"
C0623d,C0623d_N3_mask.bmp,"N3 (4 regs): A=[2600   113   113    46] C=[1.02 0.90 0.73 1.05]"
C0623d,C0623d_N4_mask.bmp,"N4 (5 regs): A=[1143   248   163   156    25] C=[1.03 0.72 0.66 0.89 0.52]"
C0623d,C0623d_N5_mask.bmp,"N5 (3 regs): A=[336   29   15] C=[0.71 1.12 0.72]"
C0623d,C0623d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0623d,C0623d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0623i,C0623i_N1_mask.bmp,"N1 (5 regs): A=[3827   361   110    99    86] C=[0.82 0.95 1.13 0.82 1.17]"
C0623i,C0623i_N2_mask.bmp,"N2 (1 regs): A=[3214] C=[0.96]"
C0623i,C0623i_N3_mask.bmp,"N3 (1 regs): A=[2354] C=[0.97]"
C0623i,C0623i_N4_mask.bmp,"N4 (1 regs): A=[500] C=[0.87]"
C0623i,C0623i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0623i,C0623i_N6_mask.bmp,"N6 (2 regs): A=[268   38] C=[0.37 1.25]"
C0623i,C0623i_N7_mask.bmp,"N7 (1 regs): A=[904] C=[0.62]"
C0674d,C0674d_N1_mask.bmp,"N1 (5 regs): A=[4591  1083   504   379    20] C=[0.95 0.56 0.49 0.31 1.44]"
C0674d,C0674d_N2_mask.bmp,"N2 (3 regs): A=[3539   766   236] C=[0.99 0.53 0.44]"
C0674d,C0674d_N3_mask.bmp,"N3 (3 regs): A=[2314   571   109] C=[1.01 0.51 1.02]"
C0674d,C0674d_N4_mask.bmp,"N4 (3 regs): A=[1235   423    29] C=[1.03 0.59 0.78]"
C0674d,C0674d_N5_mask.bmp,"N5 (1 regs): A=[497] C=[0.68]"
C0674d,C0674d_N6_mask.bmp,"N6 (1 regs): A=[304] C=[0.71]"
C0674d,C0674d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0674i,C0674i_N1_mask.bmp,"N1 (4 regs): A=[4617   611   269   264] C=[0.83 0.57 0.72 1.06]"
C0674i,C0674i_N2_mask.bmp,"N2 (3 regs): A=[3623   197    37] C=[0.88 0.78 1.20]"
C0674i,C0674i_N3_mask.bmp,"N3 (1 regs): A=[2321] C=[0.94]"
C0674i,C0674i_N4_mask.bmp,"N4 (1 regs): A=[1172] C=[1.01]"
C0674i,C0674i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0674i,C0674i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0674i,C0674i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0692d,C0692d_N1_mask.bmp,"N1 (8 regs): A=[619  289  221  137   97   63   32   18] C=[0.82 0.59 0.84 0.85 1.13 1.17 1.34 1.26]"
C0692d,C0692d_N2_mask.bmp,"N2 (2 regs): A=[177  113] C=[1.01 1.09]"
C0692d,C0692d_N3_mask.bmp,"N3 (0 regs): A=[] C=[]"
C0692d,C0692d_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0692d,C0692d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0692d,C0692d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0692d,C0692d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0692i,C0692i_N1_mask.bmp,"N1 (7 regs): A=[633  293  229  223   38   33   10] C=[0.82 0.81 0.49 0.47 0.90 1.13 1.89]"
C0692i,C0692i_N2_mask.bmp,"N2 (3 regs): A=[124   79   74] C=[0.88 1.03 1.16]"
C0692i,C0692i_N3_mask.bmp,"N3 (0 regs): A=[] C=[]"
C0692i,C0692i_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0692i,C0692i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0692i,C0692i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0692i,C0692i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
