Prefix,Archivo,Resumen
C0683d,C0683d_N1_mask.bmp,"N1 (2 regs): A=[1574    66] C=[0.90 0.80]"
C0683d,C0683d_N2_mask.bmp,"N2 (1 regs): A=[902] C=[0.99]"
C0683d,C0683d_N3_mask.bmp,"N3 (0 regs): A=[] C=[]"
C0683d,C0683d_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0683d,C0683d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0683d,C0683d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0683d,C0683d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0683i,C0683i_N1_mask.bmp,"N1 (2 regs): A=[1326   797] C=[0.93 0.41]"
C0683i,C0683i_N2_mask.bmp,"N2 (2 regs): A=[674  188] C=[1.02 0.62]"
C0683i,C0683i_N3_mask.bmp,"N3 (0 regs): A=[] C=[]"
C0683i,C0683i_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0683i,C0683i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0683i,C0683i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0683i,C0683i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0685d,C0685d_N1_mask.bmp,"N1 (5 regs): A=[3732  2114   860   255    30] C=[1.00 0.50 0.49 0.57 1.06]"
C0685d,C0685d_N2_mask.bmp,"N2 (3 regs): A=[3051  1473   293] C=[1.03 0.52 1.02]"
C0685d,C0685d_N3_mask.bmp,"N3 (2 regs): A=[2130  1009] C=[1.04 0.49]"
C0685d,C0685d_N4_mask.bmp,"N4 (2 regs): A=[1029   516] C=[1.04 0.67]"
C0685d,C0685d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0685d,C0685d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0685d,C0685d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0685i,C0685i_N1_mask.bmp,"N1 (8 regs): A=[2372  2020  1636   478   119    90    50    12] C=[0.96 0.35 0.50 0.48 1.08 1.07 0.89 1.62]"
C0685i,C0685i_N2_mask.bmp,"N2 (5 regs): A=[1844  1113   774    86    54] C=[1.00 0.39 0.45 0.98 1.19]"
C0685i,C0685i_N3_mask.bmp,"N3 (6 regs): A=[1059   432   267   154    60    34] C=[1.06 0.82 0.83 0.95 0.98 1.06]"
C0685i,C0685i_N4_mask.bmp,"N4 (3 regs): A=[154  123  118] C=[0.94 0.87 0.79]"
C0685i,C0685i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0685i,C0685i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0685i,C0685i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
