Prefix,Archivo,Resumen
C0687d,C0687d_N1_mask.bmp,"N1 (6 regs): A=[4419   140    47    39    22    16] C=[0.99 0.82 0.81 1.26 1.25 1.52]"
C0687d,C0687d_N2_mask.bmp,"N2 (1 regs): A=[3719] C=[1.00]"
C0687d,C0687d_N3_mask.bmp,"N3 (1 regs): A=[2830] C=[1.01]"
C0687d,C0687d_N4_mask.bmp,"N4 (1 regs): A=[1570] C=[1.01]"
C0687d,C0687d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0687d,C0687d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0687d,C0687d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0699d,C0699d_N1_mask.bmp,"N1 (4 regs): A=[558  462  355  167] C=[0.68 1.01 0.85 0.69]"
C0699d,C0699d_N2_mask.bmp,"N2 (2 regs): A=[193   32] C=[0.39 1.33]"
C0699d,C0699d_N3_mask.bmp,"N3 (0 regs): A=[] C=[]"
C0699d,C0699d_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0699d,C0699d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0699d,C0699d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0699d,C0699d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0699i,C0699i_N1_mask.bmp,"N1 (13 regs): A=[394  248  141  136  102   86   78   39   26   18   14   13   11] C=[0.79 1.09 1.05 0.91 0.83 1.16 0.97 1.29 0.95 1.36 1.08 0.69 1.19]"
C0699i,C0699i_N2_mask.bmp,"N2 (0 regs): A=[] C=[]"
C0699i,C0699i_N3_mask.bmp,"N3 (0 regs): A=[] C=[]"
C0699i,C0699i_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0699i,C0699i_N5_mask.bmp,"N5 (2 regs): A=[23  11] C=[0.99 0.68]"
C0699i,C0699i_N6_mask.bmp,"N6 (1 regs): A=[140] C=[0.42]"
C0699i,C0699i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0703d,C0703d_N1_mask.bmp,"N1 (10 regs): A=[947  771  700  383  153   91   79   71   43   28] C=[0.96 0.31 0.67 0.81 1.05 0.89 1.08 1.19 0.93 1.18]"
C0703d,C0703d_N2_mask.bmp,"N2 (4 regs): A=[527  340  265  145] C=[1.05 0.98 0.54 0.81]"
C0703d,C0703d_N3_mask.bmp,"N3 (2 regs): A=[119   32] C=[0.77 1.23]"
C0703d,C0703d_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0703d,C0703d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0703d,C0703d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0703d,C0703d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0703i,C0703i_N1_mask.bmp,"N1 (11 regs): A=[739  625  535  481  357  100   94   92   86   80   13] C=[1.00 0.59 0.92 0.67 0.44 1.04 0.89 1.17 1.19 1.16 1.25]"
C0703i,C0703i_N2_mask.bmp,"N2 (5 regs): A=[334  322  202  119  105] C=[0.99 1.07 0.57 0.67 1.10]"
C0703i,C0703i_N3_mask.bmp,"N3 (1 regs): A=[106] C=[1.01]"
C0703i,C0703i_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0703i,C0703i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0703i,C0703i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0703i,C0703i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0705d,C0705d_N1_mask.bmp,"N1 (6 regs): A=[6228  1484  1313   119   102    82] C=[0.28 0.97 0.71 1.05 0.95 1.14]"
C0705d,C0705d_N2_mask.bmp,"N2 (3 regs): A=[5057  1159   929] C=[0.23 1.02 0.82]"
C0705d,C0705d_N3_mask.bmp,"N3 (4 regs): A=[3090  1061   553   173] C=[0.36 0.91 0.95 1.11]"
C0705d,C0705d_N4_mask.bmp,"N4 (2 regs): A=[2065   547] C=[0.43 1.00]"
C0705d,C0705d_N5_mask.bmp,"N5 (1 regs): A=[1126] C=[0.58]"
C0705d,C0705d_N6_mask.bmp,"N6 (1 regs): A=[1476] C=[0.65]"
C0705d,C0705d_N7_mask.bmp,"N7 (2 regs): A=[1785    54] C=[0.51 1.22]"
